,,COLUMN,Expected Index,Moran's Index,Variance,p-value,threshold,z-score
minneapolis,area,area,-0.00043346337234503684,0.491254731633,2.13642254744e-05,0.0,0.111464847979,106.376624414
minneapolis,densitypop,densitypop,-0.00043346337234503684,0.266908031308,2.13642254744e-05,0.0,0.111464847979,57.8392689896
chicago,2010_AVGHI,2010_AVGHI,-0.00015262515262515263,0.253202319189,2.68877957294e-06,0.0,0.107746567689,154.508289316
chicago,2010_DKL(y,2010_DKL(y,-0.00015262515262515263,0.0994257374565,2.68877957294e-06,0.0,0.107746567689,60.7277765968
chicago,2010_TOTHH,2010_TOTHH,-0.00015262515262515263,0.115573500582,2.68877957294e-06,0.0,0.107746567689,70.5754756945
chicago,area,area,-0.00015262515262515263,0.357940786001,2.68877957294e-06,0.0,0.107746567689,218.382950909
chicago,densitypop,densitypop,-0.00015262515262515263,0.292299398302,2.68877957294e-06,0.0,0.107746567689,178.351608525
detroit,2010_AVGHI,2010_AVGHI,-0.00027412280701754384,0.351679755473,7.36266892537e-06,0.0,0.090984725234,129.708405054
detroit,2010_DKL(y,2010_DKL(y,-0.00027412280701754384,0.240722239297,7.36266892537e-06,0.0,0.090984725234,88.8163355525
detroit,2010_TOTHH,2010_TOTHH,-0.00027412280701754384,0.220422832826,7.36266892537e-06,0.0,0.090984725234,81.3352313527
detroit,area,area,-0.00027412280701754384,0.592829744204,7.36266892537e-06,0.0,0.090984725234,218.581357868
detroit,densitypop,densitypop,-0.00027412280701754384,0.375898516919,7.36266892537e-06,0.0,0.090984725234,138.633940794
orlando,2010_AVGHI,2010_AVGHI,-0.0012033694344163659,0.0393652716543,2.35165201009e-05,0.0,0.182068045082,8.36573170308
orlando,2010_DKL(y,2010_DKL(y,-0.0012033694344163659,0.0177824885918,2.35165201009e-05,9.03639053793e-05,0.182068045082,3.91510758404
orlando,2010_TOTHH,2010_TOTHH,-0.0012033694344163659,0.0808116493923,2.35165201009e-05,0.0,0.182068045082,16.9124630433
orlando,area,area,-0.0012033694344163659,0.584101123651,2.35165201009e-05,0.0,0.182068045082,120.696681534
orlando,densitypop,densitypop,-0.0012033694344163659,0.225825430019,2.35165201009e-05,0.0,0.182068045082,46.8160129138
new-orleans,2010_AVGHI,2010_AVGHI,-0.0010141987829614604,0.0254319162455,5.23048601706e-06,0.0,0.32916363862,11.5635414075
new-orleans,2010_DKL(y,2010_DKL(y,-0.0010141987829614604,0.069205637305,5.23048601706e-06,0.0,0.32916363862,30.7035638829
new-orleans,2010_TOTHH,2010_TOTHH,-0.0010141987829614604,0.160884241998,5.23048601706e-06,0.0,0.32916363862,70.789956172
new-orleans,area,area,-0.0010141987829614604,0.113210259012,5.23048601706e-06,0.0,0.32916363862,49.944547471
new-orleans,densitypop,densitypop,-0.0010141987829614604,0.128695855403,5.23048601706e-06,0.0,0.32916363862,56.7156113832
st-louis-mo,2010_AVGHI,2010_AVGHI,-0.000499001996007984,0.213988597325,1.47204287775e-05,0.0,0.16334274147,55.9038809152
st-louis-mo,2010_DKL(y,2010_DKL(y,-0.000499001996007984,0.118949729472,1.47204287775e-05,0.0,0.16334274147,31.1330243828
st-louis-mo,2010_TOTHH,2010_TOTHH,-0.000499001996007984,0.167280057599,1.47204287775e-05,0.0,0.16334274147,43.729803482
st-louis-mo,area,area,-0.000499001996007984,0.356838836445,1.47204287775e-05,0.0,0.16334274147,93.136256035
st-louis-mo,densitypop,densitypop,-0.000499001996007984,0.326409868861,1.47204287775e-05,0.0,0.16334274147,85.2052736119
atlanta,2010_AVGHI,2010_AVGHI,-0.000388651379712398,0.262588977621,1.88774829773e-05,0.0,0.106311637616,60.526667331
atlanta,2010_DKL(y,2010_DKL(y,-0.000388651379712398,0.125616516114,1.88774829773e-05,0.0,0.106311637616,29.0012229704
atlanta,2010_TOTHH,2010_TOTHH,-0.000388651379712398,0.119514243686,1.88774829773e-05,0.0,0.106311637616,27.5967300687
atlanta,area,area,-0.000388651379712398,0.462907759143,1.88774829773e-05,0.0,0.106311637616,106.631837172
atlanta,densitypop,densitypop,-0.000388651379712398,0.294502990067,1.88774829773e-05,0.0,0.106311637616,67.8719644267
philadelphia,2010_AVGHI,2010_AVGHI,-0.00023424689622862497,0.154321905449,1.3818645093e-06,0.0,0.167497178101,131.478144387
philadelphia,2010_DKL(y,2010_DKL(y,-0.00023424689622862497,0.130055047215,1.3818645093e-06,0.0,0.167497178101,110.834763698
philadelphia,2010_TOTHH,2010_TOTHH,-0.00023424689622862497,0.10367402196,1.3818645093e-06,0.0,0.167497178101,88.3928990749
philadelphia,area,area,-0.00023424689622862497,0.398857154395,1.3818645093e-06,0.0,0.167497178101,339.499891053
philadelphia,densitypop,densitypop,-0.00023424689622862497,0.292290162068,1.3818645093e-06,0.0,0.167497178101,248.845263647
