CITY,COLUMN,Expected Index,Moran's Index,Variance,p-value,threshold,z-score
alexander-city-al-micro-area,AVGHINC,-0.021739130434782608,0.0812887266539,0.00534875925255,0.158914657712,0.15573269582,1.40873122666
alexander-city-al-micro-area,CENSUSAREA,-0.021739130434782608,0.0797500423105,0.00534875925255,0.165230753308,0.15573269582,1.38769232763
alexander-city-al-micro-area,DKL(y|n),-0.021739130434782608,0.150756512002,0.00534875925255,0.0183447390256,0.15573269582,2.35858538487
alexander-city-al-micro-area,Density,-0.021739130434782608,0.00813290711134,0.00534875925255,0.68294373153,0.15573269582,0.40844945517
alexander-city-al-micro-area,HINC000_W,-0.021739130434782608,0.0437837879307,0.00534875925255,0.370298273275,0.15573269582,0.895914792093
alexander-city-al-micro-area,HINC200_W,-0.021739130434782608,0.0578576407018,0.00534875925255,0.276440244994,0.15573269582,1.0883508617
alexander-city-al-micro-area,TOTHH,-0.021739130434782608,0.0454675845831,0.00534875925255,0.358128077829,0.15573269582,0.918937855859
selma-al-micro-area,AVGHINC,-0.02631578947368421,0.0739079887576,0.00893737167387,0.289077981117,0.0969948936769,1.06014644456
selma-al-micro-area,CENSUSAREA,-0.02631578947368421,0.44138018083,0.00893737167387,7.52919109503e-07,0.0969948936769,4.94719146299
selma-al-micro-area,DKL(y|n),-0.02631578947368421,-0.0265784556726,0.00893737167387,0.99778313737,0.0969948936769,-0.00277842885003
selma-al-micro-area,Density,-0.02631578947368421,0.138804837901,0.00893737167387,0.0807046775899,0.0969948936769,1.74661192308
selma-al-micro-area,HINC000_W,-0.02631578947368421,0.120951217424,0.00893737167387,0.119290149043,0.0969948936769,1.55776000984
selma-al-micro-area,HINC200_W,-0.02631578947368421,0.0291066138706,0.00893737167387,0.557709712297,0.0969948936769,0.586246745946
selma-al-micro-area,TOTHH,-0.02631578947368421,0.0041870262453,0.00893737167387,0.746958436439,0.0969948936769,0.3226524903
eufaula-al-ga-micro-area-part,AVGHINC,-0.041666666666666664,-0.0862620434114,0.0154648753318,0.719890429764,0.147444884322,-0.358605235291
eufaula-al-ga-micro-area-part,CENSUSAREA,-0.041666666666666664,0.27559025883,0.0154648753318,0.0107364657212,0.147444884322,2.55116119025
eufaula-al-ga-micro-area-part,DKL(y|n),-0.041666666666666664,-0.117744265803,0.0154648753318,0.540694218693,0.147444884322,-0.611763535378
eufaula-al-ga-micro-area-part,Density,-0.041666666666666664,0.115801757106,0.0154648753318,0.205422746142,0.147444884322,1.26625236246
eufaula-al-ga-micro-area-part,HINC000_W,-0.041666666666666664,-0.102657185075,0.0154648753318,0.623819997459,0.147444884322,-0.490443646877
eufaula-al-ga-micro-area-part,HINC200_W,-0.041666666666666664,-0.0733183696556,0.0154648753318,0.799092969679,0.147444884322,-0.254521146053
eufaula-al-ga-micro-area-part,TOTHH,-0.041666666666666664,0.133179026702,0.0154648753318,0.159727578591,0.147444884322,1.40598836891
fort-payne-al-micro-area,AVGHINC,-0.019230769230769232,-0.0354709151995,0.0104266175087,0.873633943275,0.0807979321465,-0.159044336017
fort-payne-al-micro-area,CENSUSAREA,-0.019230769230769232,0.493791585697,0.0104266175087,5.05606963186e-07,0.0807979321465,5.02417280969
fort-payne-al-micro-area,DKL(y|n),-0.019230769230769232,-0.128573157882,0.0104266175087,0.284249970929,0.0807979321465,-1.07082089256
fort-payne-al-micro-area,Density,-0.019230769230769232,0.199116713251,0.0104266175087,0.0324892749778,0.0807979321465,2.13833856169
fort-payne-al-micro-area,HINC000_W,-0.019230769230769232,-0.0744697657125,0.0104266175087,0.588527507296,0.0807979321465,-0.540971093156
fort-payne-al-micro-area,HINC200_W,-0.019230769230769232,-0.0871550723143,0.0104266175087,0.505921376098,0.0807979321465,-0.665201883294
fort-payne-al-micro-area,TOTHH,-0.019230769230769232,-0.126145130095,0.0104266175087,0.295079962918,0.0807979321465,-1.04704253072
valley-al-micro-area,AVGHINC,-0.03125,0.0169431805367,0.00463656051239,0.479092682237,0.13936768432,0.707762621181
valley-al-micro-area,CENSUSAREA,-0.03125,0.27562521813,0.00463656051239,6.58268779707e-06,0.13936768432,4.50675399175
valley-al-micro-area,DKL(y|n),-0.03125,-0.0282919166466,0.00463656051239,0.965348988412,0.13936768432,0.0434422630873
valley-al-micro-area,Density,-0.03125,0.146905652456,0.00463656051239,0.00888663104417,0.13936768432,2.61638493571
valley-al-micro-area,HINC000_W,-0.03125,-0.0702129433581,0.00463656051239,0.567181188214,0.13936768432,-0.572207823035
valley-al-micro-area,HINC200_W,-0.03125,0.0135151818235,0.00463656051239,0.510911406331,0.13936768432,0.657419204795
valley-al-micro-area,TOTHH,-0.03125,-0.0352610094573,0.00463656051239,0.953027390996,0.13936768432,-0.0589054827975
anniston-oxford-al-metro-area,AVGHINC,-0.011111111111111112,,0.00357534439091,,0.0621667822289,
anniston-oxford-al-metro-area,CENSUSAREA,-0.011111111111111112,0.216549493869,0.00357534439091,0.000140433309852,0.0621667822289,3.80740385304
anniston-oxford-al-metro-area,DKL(y|n),-0.011111111111111112,,0.00357534439091,,0.0621667822289,
anniston-oxford-al-metro-area,Density,-0.011111111111111112,0.243329182325,0.00357534439091,2.08798494967e-05,0.0621667822289,4.25526829149
anniston-oxford-al-metro-area,HINC000_W,-0.011111111111111112,,0.00357534439091,,0.0621667822289,
anniston-oxford-al-metro-area,HINC200_W,-0.011111111111111112,,0.00357534439091,,0.0621667822289,
anniston-oxford-al-metro-area,TOTHH,-0.011111111111111112,0.0256335243359,0.00357534439091,0.538872713911,0.0621667822289,0.614518557532
scottsboro-al-micro-area,AVGHINC,-0.023255813953488372,-0.0198944272359,0.00667812805605,0.967189812087,0.130247774173,0.0411330684571
scottsboro-al-micro-area,CENSUSAREA,-0.023255813953488372,0.492047051239,0.00667812805605,2.86843659936e-10,0.130247774173,6.30572731158
scottsboro-al-micro-area,DKL(y|n),-0.023255813953488372,0.0186088519791,0.00667812805605,0.608444447228,0.130247774173,0.512295166965
scottsboro-al-micro-area,Density,-0.023255813953488372,0.126772746434,0.00667812805605,0.0663739804792,0.130247774173,1.83588963822
scottsboro-al-micro-area,HINC000_W,-0.023255813953488372,-0.0686050471519,0.00667812805605,0.57893871896,0.130247774173,-0.554935587699
scottsboro-al-micro-area,HINC200_W,-0.023255813953488372,0.0601965451243,0.00667812805605,0.307159201559,0.130247774173,1.02120103613
scottsboro-al-micro-area,TOTHH,-0.023255813953488372,0.0150135623795,0.00667812805605,0.639570179758,0.130247774173,0.468299844306
